"category","question_text","correct_option","wrong_option_1","wrong_option_2","explanation"
"M3","A horseshoe seating arrangement naturally places the teacher in the role of a:","Facilitator / Guide who is part of the group.","Strict examiner.","Distant lecturer.","U ပုံစံ စီထားတဲ့ အတန်းမှာ ဆရာက ရှေ့မှာ သီးသန့်ရပ်နေစရာမလိုဘဲ ကျောင်းသားတွေနဲ့ အတူတူ ပိုမိုနီးကပ်စွာ ဆက်သွယ်နိုင်ပါတယ်။"
"M3","Compared to traditional rows, a U-shape arrangement makes it easier for the teacher to:","Monitor students and distribute materials efficiently.","Prevent students from seeing the board.","Ignore quiet students.","U ပုံစံ ခုံအစီအစဉ်ဟာ ဆရာ့အတွက် ကျောင်းသားတိုင်းဆီ အလွယ်တကူ သွားရောက်နိုင်ပြီး အကဲခတ်ဖို့ အကောင်းဆုံး ပုံစံဖြစ်ပါတယ်။"
"M3","A class with students of noticeably different English levels is called a:","Mixed ability class","Monolingual class","Homogeneous class","အတန်းတစ်တန်းထဲမှာ အင်္ဂလိပ်စာ အရည်အချင်း ကွာဟတဲ့ ကျောင်းသားတွေ ပါဝင်နေတာကို Mixed ability class လို့ခေါ်ပါတယ်။"
"M3","How can a teacher manage a mixed ability class effectively?","By providing different tasks or varying levels of support.","By only teaching the strongest students.","By giving everyone the exact same test.","Mixed ability အတန်းတွေမှာ အားနည်းတဲ့ ကျောင်းသားအတွက် အကူအညီ ပိုပေးပြီး တော်တဲ့ ကျောင်းသားအတွက် စိန်ခေါ်မှုပိုများတဲ့ မေးခွန်းတွေ မေးရပါမယ်။"
"M3","Pairing a strong student with a weaker student is a strategy used in:","Mixed ability classes.","Summative assessment.","Teacher-centered classes.","တော်တဲ့သူနဲ့ အားနည်းတဲ့သူကို တွဲပေးလိုက်ခြင်း အားဖြင့် အားနည်းသူက သင်ယူခွင့်ရသလို တော်တဲ့သူကလည်း ပြန်ရှင်းပြရင်း ပိုမှတ်မိသွားစေပါတယ်။"
"M3","Students who complete an activity much quicker than the rest of the class are called:","Fast finishers","Dominant students","Visual learners","လေ့ကျင့်ခန်းတစ်ခုကို သူများထက် အရင် ပြီးသွားတဲ့ ကျောင်းသားတွေကို Fast finishers လို့ ခေါ်ပါတယ်။"
"M3","What should a teacher do with fast finishers?","Have an extension activity ready for them.","Tell them to just sit quietly.","Make them do the same exercise again.","သူများထက် အရင်ပြီးသွားတဲ့ ကျောင်းသားတွေ ငြိမ်မနေစေဖို့ ဆက်လုပ်ရမယ့် နောက်ဆက်တွဲ လေ့ကျင့်ခန်းတွေကို ကြိုတင်ပြင်ဆင်ထားရပါမယ်။"
"M3","Giving a fast finisher a completely different, unrelated grammar worksheet is usually:","A bad idea, as it feels like a punishment.","The best standard practice.","A great way to test them.","မြန်မြန်ပြီးတဲ့သူကို အလုပ်တွေ အများကြီး ထပ်ပေးတာက ပြစ်ဒဏ်ပေးသလို ခံစားချက်ကို ဖြစ်စေလို့ ဆုချတဲ့ ပုံစံမျိုး လေ့ကျင့်ခန်းတွေသာ ပေးသင့်ပါတယ်။"
"M3","A student who answers every question and doesn't let others speak is a:","Dominant student","Fast finisher","Passive learner","မေးခွန်းမေးတိုင်း သူများထက် အရင်ဝင်ဖြေပြီး တခြားသူတွေကို စကားပြောခွင့် မရအောင် လွှမ်းမိုးထားတဲ့ ကျောင်းသားကို Dominant student လို့ ခေါ်ပါတယ်။"
"M3","How can a teacher politely manage a dominant student?","By explicitly nominating other students to answer.","By yelling at them to stop talking.","By letting them teach the class.","Dominant ဖြစ်တဲ့ ကျောင်းသားကို တားမြစ်တဲ့အခါ အခြားသူတွေကို နာမည်တပ်ပြီး (Nominating) စကားပြောခိုင်းသင့်ပါတယ်။"
"M3","Pairing two dominant students together in a speaking task is a strategy to:","Allow quieter students in other groups the chance to speak freely.","Make the classroom louder.","Punish the dominant students.","စကားအရမ်းများတဲ့ သူနှစ်ယောက်ကို အတူတူ တွဲပေးလိုက်ခြင်းဖြင့် ကျန်တဲ့ အေးအေးဆေးဆေး ကျောင်းသားတွေ လွတ်လွတ်လပ်လပ် စကားပြောခွင့် ရသွားစေပါတယ်။"
"M3","Calling a specific student by their name to answer a question is called:","Nominating","Echoing","Prompting","အတန်းထဲမှာ ဘယ်သူဖြေပါလို့ ကျောင်းသားရဲ့ နာမည်ကို တိုက်ရိုက်ခေါ်ပြီး မေးခွန်းဖြေခိုင်းတာကို Nominating လို့ ခေါ်ပါတယ်။"
"M3","When is the best time to nominate a student?","After asking the question and pausing.","Before asking the question.","While the student is talking to someone else.","မေးခွန်းကို အရင်မေး၊ အချိန်ခဏပေးပြီးမှ ဖြေမယ့်သူကို နာမည်ခေါ် (Nominate) သင့်ပါတယ်။ အရင်ခေါ်လိုက်ရင် ကျန်တဲ့သူတွေ မစဉ်းစားဘဲနေပါလိမ့်မယ်။"
"M3","Nominating is an effective tool for a teacher to:","Control turn-taking and ensure quiet students participate.","Increase Teacher Talking Time.","Scare students.","Nominating လုပ်ခြင်းဟာ စာသင်ခန်းကို ထိန်းကျောင်းဖို့နဲ့ ရှက်တတ်တဲ့ ကျောင်းသားတွေကို ပါဝင်လာအောင် ဆွဲခေါ်ဖို့ အကောင်းဆုံး လက်နက်တစ်ခု ဖြစ်ပါတယ်။"
"M3","Building a positive, trusting, and respectful relationship with the learners is called establishing:","Rapport","Discipline","Dominance","ဆရာနဲ့ ကျောင်းသားအကြား နားလည်မှု၊ ယုံကြည်မှုနဲ့ ရင်းနှီးနွေးထွေးတဲ့ ဆက်ဆံရေး တည်ဆောက်တာကို Establishing rapport လို့ ခေါ်ပါတယ်။"
"M3","Which action helps build good rapport in the classroom?","Learning students' names.","Ignoring their mistakes.","Never smiling.","ကျောင်းသားတွေရဲ့ နာမည်ကို မှတ်မိတာဟာ ကောင်းမွန်တဲ့ ဆက်ဆံရေး (Rapport) ကို တည်ဆောက်တဲ့ နေရာမှာ အလွန်အရေးပါပါတယ်။"
"M3","Why is rapport important for language learning?","It lowers anxiety, making students more willing to speak.","It makes the students give the teacher gifts.","It guarantees they will pass.","ဆက်ဆံရေးကောင်းမွန်တဲ့ အတန်းမှာ ကျောင်းသားတွေက ကြောက်ရွံ့မှုကင်းပြီး အမှားလုပ်မိမှာ မကြောက်ဘဲ အင်္ဂလိပ်လို ရဲရဲဝံ့ဝံ့ စကားပြောရဲလာကြပါတယ်။"
"M3","Moving smoothly from a reading task to a speaking task is called managing:","Transitions","Rapport","Feedback","လေ့ကျင့်ခန်း တစ်ခုကနေ နောက်တစ်ခုကို အကူးအပြောင်းမှာ အတန်းမဆူညံသွားအောင်၊ အချိန်မဖြုန်းဘဲ ချောမွေ့အောင် ထိန်းချုပ်တာကို Managing transitions လို့ခေါ်ပါတယ်။"
"M3","A clear sign that a transition was poorly managed is when:","Students are confused and noisy.","Students finish early.","The teacher uses L1.","အကူးအပြောင်း (Transition) ကို သေချာ မစီစဉ်ထားရင် ကျောင်းသားတွေက ဘာဆက်လုပ်ရမှန်း မသိဘဲ အတန်းထဲမှာ ဆူညံရှုပ်ထွေးသွားတတ်ပါတယ်။"
"M3","To manage a transition effectively, a teacher should:","Give a clear signal to end one stage before starting the next.","Just start writing on the board.","Leave the room.","Transition လုပ်တဲ့အခါ အသံပေးတာ သို့မဟုတ် ရှင်းလင်းတဲ့ စကားလုံး သုံးပြီး အာရုံစိုက်အောင် အရင်လုပ်ဖို့ လိုအပ်ပါတယ်။"
"M3","Feedback given during the course to help learners understand how to improve is:","Formative feedback","Summative feedback","Peer correction","သင်ယူနေဆဲ ကာလမှာ ကျောင်းသားတွေ ဘာတွေ လိုအပ်နေသေးလဲဆိုတာကို ထောက်ပြပြီး တိုးတက်အောင် ပေးတဲ့ အကြံပြုချက်ကို Formative feedback လို့ ခေါ်ပါတယ်။"
"M3","Which of the following is an example of formative feedback?","Telling a student 'Try to use more linking words next time.'","Giving a final grade.","Giving a certificate.","Formative feedback ဟာ အမှတ်ပေးဖို့ထက် အားနည်းချက်ကို ဘယ်လိုပြင်ရမလဲဆိုတာကို လမ်းညွှန်ပြသပေးတာ ဖြစ်ပါတယ်။"
"M3","The primary goal of formative feedback is to:","Promote ongoing learning and development.","Evaluate for graduation.","Compare students.","Formative feedback ရဲ့ အဓိက ရည်ရွယ်ချက်က ကျောင်းသားတွေကို သင်ယူမှု ဖြစ်စဉ်တစ်လျှောက်လုံး အမှားကနေ သင်ယူစေဖို့ ဖြစ်ပါတယ်။"
"M3","Feedback given at the very end of a course to evaluate overall achievement is:","Summative feedback","Formative feedback","Eliciting","သင်တန်း တစ်ခုလုံး ပြီးဆုံးသွားတဲ့အခါ ကျောင်းသားရဲ့ တတ်မြောက်မှုကို အဆုံးအဖြတ်ပေးတဲ့ အကဲဖြတ်ချက်ကို Summative feedback လို့ ခေါ်ပါတယ်။"
"M3","A final report card with a grade of '85%' is an example of:","Summative feedback","Formative feedback","A concept check","စာမေးပွဲ အမှတ်စာရင်းတွေ၊ အောင်လက်မှတ်တွေဟာ သင်ယူမှုရလဒ်ကို အကျဉ်းချုပ် ပြသတဲ့ (Summative) သဘောတရား ဖြစ်ပါတယ်။"
"M3","Unlike formative feedback, summative feedback looks backwards at:","What has already been achieved by the end of the learning period.","What can be changed tomorrow.","How to set up a task.","Formative က ရှေ့ဆက်တိုးတက်ဖို့ အာရုံစိုက်ပေမယ့် Summative ကတော့ ပြီးသွားတဲ့ အချိန်ကာလ တစ်ခုအတွင်းမှာ ဘယ်လောက် တတ်မြောက်ခဲ့လဲ အကဲဖြတ်တာပါ။"
"M3","When marking a writing assignment, a teacher writes 'Sp' above a word. This is a:","Correction code","Formative assessment","Syllabus","စာရေးသားမှုတွေကို စစ်ဆေးတဲ့အခါ အဖြေမှန်ကို တန်းမပြင်ပေးဘဲ အမှားအမျိုးအစားကို သင်္ကေတ (Spelling အတွက် Sp) နဲ့ ပြသတာကို Correction code လို့ ခေါ်ပါတယ်။"
"M3","Why do teachers use correction codes instead of just fixing the mistakes?","To encourage learner autonomy by making students think.","To save red ink.","To make the writing messy.","Correction codes သုံးခြင်းက ကျောင်းသားတွေကို သူတို့ရဲ့ အမှားကို ကိုယ်တိုင် ပြန်ရှာပြီး စဉ်းစားပြင်ဆင်ခိုင်းတဲ့အတွက် သင်ယူမှုကို ပိုမို နက်ရှိုင်းစေပါတယ်။"
"M3","If a teacher uses 'WT' to indicate 'Wrong Tense', the learner is expected to:","Rewrite the verb in the correct tense.","Ask the teacher for the answer.","Ignore it.","သင်္ကေတ (Codes) တွေ သုံးတဲ့အခါ ကျောင်းသားတွေက အဲဒီ သင်္ကေတရဲ့ အဓိပ္ပာယ်ကို နားလည်ပြီး သူတို့ဘာသာ မှန်ကန်တဲ့ သဒ္ဒါကို ပြန်ပြောင်းရေးရမှာ ဖြစ်ပါတယ်။"
"M3","Correcting every single mistake a student makes while speaking is called:","Over-correction","Delayed correction","Peer correction","ကျောင်းသားစကားပြောတဲ့အခါ အမှားသေးသေးလေးကအစ အားလုံးကို လိုက်ပြင်ပေးနေတာကို Over-correction လုပ်တယ်လို့ ခေါ်ပါတယ်။"
"M3","What is the most likely result of over-correction?","The learner becomes demotivated and afraid to speak.","The learner becomes fluent instantly.","The learner respects the teacher more.","အမှားတိုင်းကို လိုက်ပြင်ပေးနေရင် ကျောင်းသားက စိတ်ပျက်အားငယ်သွားပြီး နောက်ပိုင်းမှာ မှားမှာကြောက်လို့ ဘာမှမပြောရဲတော့တဲ့အထိ ဖြစ်သွားနိုင်ပါတယ်။"
"M3","To avoid over-correction, a teacher should:","Only correct errors that relate to the specific aim of the lesson.","Never correct anything.","Correct only strong students.","Over-correction ကို ရှောင်ရှားဖို့အတွက် ဒီနေ့သင်ခန်းစာရဲ့ ရည်ရွယ်ချက်နဲ့ သက်ဆိုင်တဲ့ အမှားလောက်ကိုသာ ရွေးချယ်ပြင်ဆင် (Selective correction) သင့်ပါတယ်။"
"M3","Saying 'Well done, that's exactly right!' is an example of giving:","Praise / Positive reinforcement","Constructive feedback","A prompt","ကျောင်းသားတွေ ကြိုးစားမှု သို့မဟုတ် အဖြေမှန်တာကို အသိအမှတ်ပြုပြီး ချီးကျူးစကား ပြောကြားခြင်းကို Praise (ချီးကျူးခြင်း) လို့ ခေါ်ပါတယ်။"
"M3","Praise is most effective when it is:","Specific to the learner's effort or achievement.","Given automatically for every single word.","Only given at the end of the year.","ချီးကျူးတဲ့အခါ 'တော်တယ်' လို့ ယေဘုယျပြောတာထက် 'ဒီနေရာမှာ သဒ္ဒါသုံးသွားတာ အရမ်းကောင်းတယ်' ဆိုပြီး တိတိကျကျ (Specific) ချီးကျူးခြင်းက ပိုထိရောက်ပါတယ်။"
"M3","What role does positive reinforcement play in classroom management?","It encourages good behavior and motivates learners.","It makes students lazy.","It increases TTT.","Positive reinforcement ဟာ ကျောင်းသားတွေရဲ့ ယုံကြည်မှုကို တည်ဆောက်ပေးပြီး စာသင်ခန်းထဲမှာ ပျော်ရွှင်တက်ကြွစွာ ဆက်လက်ပါဝင်ချင်စိတ်ကို ဖြစ်ပေါ်စေပါတယ်။"
"M3","Organizing the whiteboard into clear sections is called:","Board management","Sequencing","Modeling","စာသင်သင်ပုန်း (Whiteboard) ကို ရှုပ်ပွမနေအောင် နေရာခွဲခြားပြီး စနစ်တကျ ရေးသားအသုံးပြုတာကို Board management လို့ ခေါ်ပါတယ်။"
"M3","Good board management is important because:","It provides a clear visual record of the lesson.","It makes the teacher look busy.","It stops students from asking questions.","သင်ပုန်းကို စနစ်တကျ သုံးခြင်းက ကျောင်းသားတွေ စာကူးတဲ့အခါ ရှင်းလင်းလွယ်ကူစေပြီး သင်ခန်းစာရဲ့ အနှစ်ချုပ်ကို မျက်စိထဲမှာ မြင်သာစေပါတယ်။"
"M3","Which of the following is a sign of poor board management?","Writing new words randomly wherever there is an empty space.","Using different colored markers.","Writing clearly.","သင်ပုန်းပေါ်မှာ နေရာလွတ်ရှိတဲ့နေရာတိုင်း ကောက်ရေးလိုက်တာက သင်ခန်းစာကို ရှုပ်ထွေးသွားစေပြီး ပြန်ဖတ်တဲ့အခါ ဘယ်ကစဖတ်ရမှန်း မသိဖြစ်စေပါတယ်။"
"M3","When a learner says, 'Do you mean the blue one or the red one?' they are:","Negotiating meaning","Eliciting","Over-correcting","စကားပြောဆိုရာမှာ တစ်ဖက်လူပြောတာကို သေချာနားမလည်တဲ့အခါ အပြန်အလှန် မေးမြန်းညှိနှိုင်းတာကို Negotiating meaning လို့ခေါ်ပါတယ်။"
"M3","Negotiating meaning is a vital communication skill because:","It helps speakers clear up misunderstandings.","It proves who is smarter.","It shows they are paying attention.","လက်တွေ့ဘဝ စကားပြောဆိုမှုတွေမှာ နားလည်မှုလွဲတာတွေ ရှိလာရင် အချင်းချင်း ညှိနှိုင်းမေးမြန်း (Negotiate) တတ်ခြင်းက မရှိမဖြစ် လိုအပ်တဲ့ စွမ်းရည်တစ်ခု ဖြစ်ပါတယ်။"
"M3","Which activity best promotes 'negotiating meaning'?","An information-gap task.","A choral drill.","Copying from the board.","Information-gap လိုမျိုး အချက်အလက် မတူညီတာကို အပြန်အလှန်မေးပြီး အဖြေရှာရတဲ့ လေ့ကျင့်ခန်းတွေက Negotiating meaning ကို အများဆုံး အားပေးပါတယ်။"
"M3","A teacher starts the class by asking students what they did on the weekend. This is to:","Build rapport and ease them into English.","Test past tense.","Check attendance.","အတန်းစစချင်းမှာ ပေါ့ပေါ့ပါးပါး စကားပြောခြင်း (Warm-up chat) ဟာ ကျောင်းသားတွေကို အင်္ဂလိပ်စာ လောကထဲကို သက်တောင့်သက်သာ ဝင်ရောက်လာစေဖို့ ဖြစ်ပါတယ်။"
"M3","Using the first five minutes for a friendly chat helps to:","Lower anxiety.","Finish the syllabus faster.","Show authority.","တန်းပြီး စာမသင်ဘဲ နှုတ်ဆက်စကားပြောတာက ကျောင်းသားတွေရဲ့ စိတ်ဖိစီးမှုကို လျှော့ချပေးပြီး သင်ယူဖို့ အသင့်ဖြစ်စေပါတယ်။"
"M3","Calling out names for attendance can be turned into a communicative activity by:","Asking each student to answer with a related word.","Making them stand up.","Ignoring them.","နာမည်ခေါ်တဲ့ အချိန်လေးကိုတောင် 'Yes' လို့မထူးခိုင်းဘဲ မနေ့က သင်ခဲ့တဲ့ ဝေါဟာရ တစ်လုံးပြောပြီး ထူးခိုင်းတာမျိုး ဖန်တီးနိုင်ပါတယ်။"
"M3","If students frequently use L1 during a speaking task, the task might be:","Too difficult or they lack vocabulary.","Too interesting.","Too short.","ကျောင်းသားတွေ မြန်မာလိုချည်းပဲ ပြောနေတယ်ဆိုရင် အဲဒီလေ့ကျင့်ခန်းက သူတို့အတွက် ခက်လွန်းနေတာ သို့မဟုတ် ဝေါဟာရ မသိတာကြောင့် ဖြစ်နိုင်ပါတယ်။"
"M3","A constructive way to deal with L1 overuse is to:","Pre-teach the required vocabulary.","Punish them.","Stop the activity.","L1 အလွန်အကျွံ သုံးတာကို လျှော့ချဖို့ လေ့ကျင့်ခန်း မစခင်ကတည်းက လိုအပ်မယ့် စကားလုံးတွေကို ကြိုတင်သင်ပေး (Pre-teach) ထားဖို့ လိုပါတယ်။"
"M3","Sometimes learners use L1 because they are highly excited. The teacher should:","Help them translate their thoughts into English.","Tell them it's boring.","Ignore them.","ကျောင်းသားတွေက စိတ်ဝင်စားလွန်းလို့ မြန်မာလို ပြောနေရင် တားမြစ်ရုံတင်မကဘဲ အဲဒီအကြောင်းအရာကို အင်္ဂလိပ်လို ဘယ်လိုပြောရမလဲဆိုတာ ကူညီပေးရပါမယ်。"
"M3","When a teacher stands at the front of the room, it generally signals:","A teacher-centered stage.","A student-centered task.","Monitoring.","ဆရာက အတန်းရှေ့မှာ မတ်တတ်ရပ်နေတာဟာ ညွှန်ကြားချက်ပေးဖို့ သို့မဟုတ် သဒ္ဒါရှင်းပြဖို့အတွက် အားလုံးရဲ့ အာရုံစိုက်မှုကို ရယူချင်တဲ့ အနေအထား ဖြစ်ပါတယ်။"
"M3","During a pair-work activity, where is the best place for the teacher to be?","Walking around to monitor and listen.","Sitting at their desk.","Standing at the board.","Pair-work လုပ်နေချိန်မှာ ဆရာက အတန်းရှေ့မှာ ရပ်မနေဘဲ ကျောင်းသားတွေကြားထဲ လမ်းလျှောက်ပြီး အကဲခတ် (Monitor) နေတာ အကောင်းဆုံးပါ။"
"M3","If a teacher kneels at the level of the students during group work, it:","Reduces intimidation.","Shows they are tired.","Proves they are the boss.","ကျောင်းသားတွေနဲ့ အမြင့်တူတဲ့ အနေအထား (ဥပမာ - ထိုင်ပြီး) ဝင်ရောက်ဆွေးနွေးတာက ခြိမ်းခြောက်ခံရတဲ့ ခံစားချက်ကို လျော့ကျစေပါတယ်။"
"M3","Using hand gestures to show past tense (e.g., pointing backwards) is a way to:","Clarify meaning without increasing TTT.","Confuse students.","Teach spelling.","လက်ဟန်ခြေဟန် (Gestures) တွေ သုံးတာဟာ စကားအများကြီး ပြောစရာမလိုဘဲ အဓိပ္ပာယ်ကို ရှင်းလင်းစွာ သိမြင်စေတဲ့ နည်းလမ်းကောင်း ဖြစ်ပါတယ်။"
"M3","A teacher raises their eyebrows when a student makes a mistake. This is a form of:","Visual prompting for self-correction.","Summative assessment.","Peer correction.","မျက်နှာအမူအရာ (ဥပမာ - မျက်ခုံးပင့်ပြတာ) တွေဟာ ကျောင်းသားကို မှားနေမှန်း သတိပြုမိစေပြီး ကိုယ်တိုင် ပြန်ပြင်နိုင်အောင် အချက်ပြတာ ဖြစ်ပါတယ်။"
"M3","What is a risk of using certain gestures in a multicultural classroom?","A positive gesture in one culture might be offensive in another.","They take too much time.","They make the teacher look silly.","လက်ဟန်ခြေဟန်တွေဟာ ယဉ်ကျေးမှုတစ်ခုနဲ့ တစ်ခု အဓိပ္ပာယ် မတူညီနိုင်တဲ့အတွက် ကျောင်းသားတွေရဲ့ နောက်ခံယဉ်ကျေးမှုကို နားလည်ထားဖို့ လိုအပ်ပါတယ်။"
"M3","Getting students ready to do an activity (giving handouts, explaining rules) is called:","Setting up a task","Feedback","Summative assessment","လေ့ကျင့်ခန်း တစ်ခု မစခင်မှာ စာရွက်ဝေတာ၊ စည်းကမ်းရှင်းပြတာ အားလုံးကို ပေါင်းပြီး Setting up a task လို့ခေါ်ပါတယ်။"
"M3","A poorly set-up task usually results in:","Students asking 'What do we do?' immediately.","Perfect language production.","A quiet classroom.","Task တစ်ခုကို သေချာ မရှင်းပြ (Setup မလုပ်) ဘဲ စခိုင်းလိုက်ရင် ကျောင်းသားတွေက ဘာလုပ်ရမှန်းမသိဘဲ အချိန်ကုန်သွားတတ်ပါတယ်။"
"M3","To effectively set up a task, instructions should be given:","Before handing out the materials.","After the activity is finished.","While handing out the papers.","အာရုံစိုက်မှု ရယူဖို့အတွက် စာရွက်တွေ မဝေခင်ကတည်းက ဘာလုပ်ရမယ်ဆိုတာကို သေချာ ရှင်းပြထားဖို့ အလွန်အရေးကြီးပါတယ်။"
"M3","When a student tells a story and the teacher responds, 'That sounds like a great holiday!' this is feedback on:","Content","Form","Pronunciation","ကျောင်းသားပြောလိုက်တဲ့ သဒ္ဒါအမှားကို မကြည့်ဘဲ သူပြောချင်တဲ့ အကြောင်းအရာ (အဓိပ္ပာယ်) ကိုပဲ တုံ့ပြန်ပြောဆိုတာကို Feedback on content လို့ ခေါ်ပါတယ်။"
"M3","When the teacher says, 'Remember to use the past tense', they are giving feedback on:","Form","Content","Management","သဒ္ဒါ၊ စာလုံးပေါင်း၊ အသံထွက် စတဲ့ ဘာသာစကားရဲ့ တည်ဆောက်ပုံ အမှားအယွင်းတွေကို ထောက်ပြတာက Feedback on form ဖြစ်ပါတယ်။"
"M3","In a communicative speaking task, the teacher should primarily give feedback on:","Content first, then deal with form later.","Form immediately.","Nothing.","စကားပြော လေ့ကျင့်ခန်းတွေမှာ ကျောင်းသားပြောတဲ့ အကြောင်းအရာကို အရင်တုံ့ပြန်ပြီးမှ လိုအပ်တဲ့ သဒ္ဒါကို နောက်မှ ပြင်ပေးသင့်ပါတယ်။"
"M3","When a learner says, 'Could you repeat that, please?', they are using language for:","Requesting clarification","Negotiating meaning","Apologizing","ဆရာပြောတာကို သေချာမကြားလိုက်လို့ သို့မဟုတ် နားမလည်လို့ ထပ်ပြောပြဖို့ တောင်းဆိုတာကို Requesting clarification လို့ ခေါ်ပါတယ်။"
"M3","Teaching learners phrases like 'What does this mean?' helps them to:","Take control of their own learning.","Interrupt unpolitely.","Fail the exam.","နားမလည်တဲ့အခါ ဘယ်လို ယဉ်ယဉ်ကျေးကျေး မေးရမလဲဆိုတဲ့ စကားစုလေးတွေ သင်ပေးထားခြင်းက သူတို့ရဲ့ ကိုယ်ပိုင်သင်ယူနိုင်စွမ်းကို မြင့်တက်စေပါတယ်။"
"M3","If a student constantly asks for clarification, it might indicate that:","The teacher needs to grade their language better.","The student is too smart.","The task is too easy.","ကျောင်းသားက ခဏခဏ နားမလည်ဘူးလို့ ပြောနေရင် ဆရာ့အနေနဲ့ ကိုယ့်ရဲ့ စကားလုံးရွေးချယ်မှု (Grading language) ကို ပြန်လည် ဆန်းစစ်သင့်ပါတယ်။"
"M3","Why do TKT trainers emphasize avoiding the question 'Do you understand?'","It provides no actual evidence of understanding.","It is grammatically incorrect.","It uses too much L1.","'နားလည်လား' လို့မေးရင် ကျောင်းသားတိုင်းက 'နားလည်တယ်' လို့ပဲ ဖြေလေ့ရှိလို့ သူတို့ တကယ်နားလည်ကြောင်း သက်သေမပြနိုင်ပါဘူး။"
"M3","Instead of asking 'Do you understand?', a teacher should:","Ask specific Concept Checking Questions (CCQs).","Ask them in L1.","Ignore them.","တကယ်နားလည်ကြောင်း သေချာစေဖို့ 'နားလည်လား' အစား အခြေအနေကို ထင်ဟပ်စေတဲ့ တိကျတဲ့ မေးခွန်းတိုလေးတွေ (CCQs) မေးရပါမယ်။"
"M3","A student says 'Yes' when asked 'Do you understand?', but fails the task. This shows that:","Self-reporting understanding is unreliable.","The student lied.","The task was too easy.","ကျောင်းသားတွေဟာ တကယ်နားမလည်ရင်တောင် ရှက်လို့ သို့မဟုတ် နားလည်တယ်လို့ ထင်သွားလို့ 'Yes' လို့ ဖြေတတ်ကြတာ သဘာဝပါ။"
"M3","When the teacher talks to all students at the same time, the interaction pattern is:","Teacher to Whole Class (T-C)","Student to Student","Pair work","ဆရာက အတန်းရှေ့ကနေ ကျောင်းသားအားလုံးကို တစ်ပြိုင်နက်တည်း ရှင်းပြနေတဲ့ ပုံစံကို T-C (Teacher to Class) လို့ ခေါ်ပါတယ်။"
"M3","Whole class interaction is most appropriate for:","Giving instructions or presenting new language.","Fluency practice.","Private counseling.","ညွှန်ကြားချက်ပေးတာ၊ သင်ခန်းစာ အသစ်ရှင်းပြတာ နဲ့ လေ့ကျင့်ခန်းအပြီး အဖြေတိုက်တဲ့ အချိန်တွေမှာ တစ်တန်းလုံးကို ခြုံငုံပြောဆိုတဲ့ ပုံစံကို သုံးပါတယ်။"
"M3","A major drawback of whole class interaction is that:","It minimizes Student Talking Time (STT).","It is too loud.","It causes L1 overuse.","ဆရာက တစ်တန်းလုံးကို ပြောနေတဲ့ အချိန်မှာ ကျောင်းသားတွေက နားထောင်ရုံပဲ ရှိလို့ သူတို့ရဲ့ စကားပြောချိန် (STT) အလွန်နည်းသွားပါတယ်။"
"M3","While formative assessment happens during the course, diagnostic assessment happens:","At the very beginning.","At the very end.","During the weekend.","သင်တန်းမစခင် သူတို့ ဘာတွေလိုနေလဲ သိအောင် အရင်စစ်တာ (Diagnostic) ဖြစ်ပြီး၊ သင်နေရင်း တိုးတက်အောင် စစ်တာက (Formative) ဖြစ်ပါတယ်။"
"M3","A teacher uses a diagnostic test to:","Plan the syllabus to the learners' needs.","Give a final grade.","Punish them.","Diagnostic test ရဲ့ ရလဒ်ကို ကြည့်ပြီး ဆရာက ရှေ့ဆက်ရမယ့် သင်ခန်းစာ အစီအစဉ်တွေကို ပြောင်းလဲ ပြင်ဆင်နိုင်ပါတယ်။"
"M3","Monitoring students during the first week of class to see their strengths is a form of:","Diagnostic assessment","Summative assessment","Over-correction","စာမေးပွဲ စစ်မှ မဟုတ်ပါဘူး။ ပထမပတ်မှာ ကျောင်းသားတွေရဲ့ အားသာချက်၊ အားနည်းချက်တွေကို လိုက်လံစောင့်ကြည့်တာကလည်း Diagnostic သဘော သက်ရောက်ပါတယ်။"
"M3","A mistake made because the learner was speaking too fast, even though they know the rule, is a:","Slip","Error","Interference","ကျောင်းသားက သဒ္ဒါကို သိပေမယ့် စကားပြောမြန်သွားလို့ မတော်တဆ မှားသွားတာကို Slip လို့ ခေါ်ပါတယ်။"
"M3","A mistake made because the learner has not yet learned the grammar rule is an:","Error","Slip","Pronunciation","သဒ္ဒါစည်းမျဉ်းကို တကယ်မသိလို့ သို့မဟုတ် နားလည်မှုလွဲနေလို့ မှားယွင်းတဲ့ အမှားအစစ်အမှန်ကို Error လို့ ခေါ်ပါတယ်။"
"M3","How should a teacher handle a 'slip' differently from an 'error'?","A slip can be self-corrected; an error might require re-teaching.","A slip should be ignored.","An error is a crime.","Slip မျိုးဆိုရင် ဆရာက အရိပ်အမြွက်ပြလိုက်တာနဲ့ ကျောင်းသားက ကိုယ်တိုင် ပြန်ပြင်နိုင်ပါတယ်။ Error ဆိုရင်တော့ ပြန်လည် ရှင်းပြဖို့ လိုအပ်ပါတယ်။"
"M3","When a learner makes a mistake by translating directly from their mother tongue, this is:","L1 Interference","A slip","Overgeneralization","မိခင်ဘာသာစကား (L1) ရဲ့ သဒ္ဒါတည်ဆောက်ပုံက အင်္ဂလိပ်စာအပေါ် လွှမ်းမိုးသွားပြီး မှားယွင်းတာကို L1 interference လို့ခေါ်ပါတယ်။"
